placement,condition_id,offline_type,workers,intensity,baseline_qps,qps,qps_degradation_pct,baseline_p99_ms,p99_ms,p99_slowdown,offline_cpuset,offline_mems
same_numa,ibench_cpu_w1_a30,ibench_cpu,1,30,"178,332","179,575",-0.70,92.415,92.159,1.00x,"16,17,18,19,20,21,22,23",0
same_numa,ibench_cpu_w1_a60,ibench_cpu,1,60,"178,332","181,561",-1.81,92.415,91.135,0.99x,"16,17,18,19,20,21,22,23",0
same_numa,ibench_cpu_w1_a90,ibench_cpu,1,90,"178,332","181,445",-1.75,92.415,91.135,0.99x,"16,17,18,19,20,21,22,23",0
same_numa,ibench_cpu_w2_a30,ibench_cpu,2,30,"178,332","181,818",-1.96,92.415,90.623,0.98x,"16,17,18,19,20,21,22,23",0
same_numa,ibench_cpu_w2_a60,ibench_cpu,2,60,"178,332","181,738",-1.91,92.415,91.135,0.99x,"16,17,18,19,20,21,22,23",0
same_numa,ibench_cpu_w2_a90,ibench_cpu,2,90,"178,332","180,174",-1.03,92.415,92.159,1.00x,"16,17,18,19,20,21,22,23",0
same_numa,ibench_cpu_w4_a30,ibench_cpu,4,30,"178,332","182,194",-2.17,92.415,90.623,0.98x,"16,17,18,19,20,21,22,23",0
same_numa,ibench_cpu_w4_a60,ibench_cpu,4,60,"178,332","182,033",-2.08,92.415,90.623,0.98x,"16,17,18,19,20,21,22,23",0
same_numa,ibench_cpu_w4_a90,ibench_cpu,4,90,"178,332","181,476",-1.76,92.415,91.135,0.99x,"16,17,18,19,20,21,22,23",0
same_numa,ibench_cpu_w6_a30,ibench_cpu,6,30,"178,332","182,693",-2.45,92.415,90.623,0.98x,"16,17,18,19,20,21,22,23",0
same_numa,ibench_cpu_w6_a60,ibench_cpu,6,60,"178,332","181,252",-1.64,92.415,91.135,0.99x,"16,17,18,19,20,21,22,23",0
same_numa,ibench_cpu_w6_a90,ibench_cpu,6,90,"178,332","182,109",-2.12,92.415,90.623,0.98x,"16,17,18,19,20,21,22,23",0
same_numa,ibench_cpu_w8_a30,ibench_cpu,8,30,"178,332","181,961",-2.04,92.415,91.135,0.99x,"16,17,18,19,20,21,22,23",0
same_numa,ibench_cpu_w8_a60,ibench_cpu,8,60,"178,332","181,952",-2.03,92.415,90.623,0.98x,"16,17,18,19,20,21,22,23",0
same_numa,ibench_cpu_w8_a90,ibench_cpu,8,90,"178,332","181,778",-1.93,92.415,91.135,0.99x,"16,17,18,19,20,21,22,23",0
same_numa,ibench_membw_w1_a30,ibench_membw,1,30,"178,332","179,499",-0.65,92.415,92.159,1.00x,"16,17,18,19,20,21,22,23",0
same_numa,ibench_membw_w1_a60,ibench_membw,1,60,"178,332","179,613",-0.72,92.415,92.159,1.00x,"16,17,18,19,20,21,22,23",0
same_numa,ibench_membw_w1_a90,ibench_membw,1,90,"178,332","178,457",-0.07,92.415,92.159,1.00x,"16,17,18,19,20,21,22,23",0
same_numa,ibench_membw_w2_a30,ibench_membw,2,30,"178,332","176,916",+0.79,92.415,93.183,1.01x,"16,17,18,19,20,21,22,23",0
same_numa,ibench_membw_w2_a60,ibench_membw,2,60,"178,332","176,957",+0.77,92.415,93.183,1.01x,"16,17,18,19,20,21,22,23",0
same_numa,ibench_membw_w2_a90,ibench_membw,2,90,"178,332","176,693",+0.92,92.415,93.183,1.01x,"16,17,18,19,20,21,22,23",0
