placement,condition_id,offline_type,spec_bench,spec_copies,spec_size,baseline_qps,qps,deg_pct,baseline_p99,p99_ms,p99_slow
same_numa,spec_502_gcc_c4,spec,502.gcc_r,4,ref,178581.0,177618.44,0.54,92.261,93.183,1.01
same_numa,spec_502_gcc_c8,spec,502.gcc_r,8,ref,178581.0,177439.62,0.64,92.261,93.183,1.01
same_numa,spec_503_bwaves_c4,spec,503.bwaves_r,4,ref,178581.0,176913.05,0.93,92.261,93.183,1.01
same_numa,spec_503_bwaves_c8,spec,503.bwaves_r,8,ref,178581.0,180816.6,-1.25,92.261,91.647,0.993
same_numa,spec_505_mcf_c4,spec,505.mcf_r,4,ref,178581.0,175827.44,1.54,92.261,93.695,1.016
same_numa,spec_505_mcf_c8,spec,505.mcf_r,8,ref,178581.0,171200.63,4.13,92.261,95.743,1.038
same_numa,spec_508_namd_c4,spec,508.namd_r,4,ref,178581.0,180323.39,-0.98,92.261,91.647,0.993
same_numa,spec_508_namd_c8,spec,508.namd_r,8,ref,178581.0,178983.15,-0.23,92.261,92.159,0.999
same_numa,spec_511_povray_c4,spec,511.povray_r,4,ref,178581.0,182721.56,-2.32,92.261,90.623,0.982
same_numa,spec_511_povray_c8,spec,511.povray_r,8,ref,178581.0,182537.22,-2.22,92.261,90.111,0.977
same_numa,spec_519_lbm_c4,spec,519.lbm_r,4,ref,178581.0,166299.01,6.88,92.261,98.815,1.071
same_numa,spec_519_lbm_c8,spec,519.lbm_r,8,ref,178581.0,147842.02,17.21,92.261,110.591,1.199
same_numa,spec_521_wrf_c4,spec,521.wrf_r,4,ref,178581.0,180265.57,-0.94,92.261,91.647,0.993
same_numa,spec_521_wrf_c8,spec,521.wrf_r,8,ref,178581.0,180917.68,-1.31,92.261,91.135,0.988
same_numa,spec_523_xalancbmk_c4,spec,523.xalancbmk_r,4,ref,178581.0,179254.74,-0.38,92.261,92.159,0.999
same_numa,spec_523_xalancbmk_c8,spec,523.xalancbmk_r,8,ref,178581.0,175157.76,1.92,92.261,93.695,1.016
same_numa,spec_525_x264_c4,spec,525.x264_r,4,ref,178581.0,178809.75,-0.13,92.261,92.159,0.999
same_numa,spec_525_x264_c8,spec,525.x264_r,8,ref,178581.0,179119.72,-0.3,92.261,91.647,0.993
same_numa,spec_526_blender_c4,spec,526.blender_r,4,ref,178581.0,180532.47,-1.09,92.261,91.647,0.993
same_numa,spec_526_blender_c8,spec,526.blender_r,8,ref,178581.0,179827.51,-0.7,92.261,91.647,0.993
same_numa,spec_527_cam4_c4,spec,527.cam4_r,4,ref,178581.0,178105.15,0.27,92.261,92.159,0.999
same_numa,spec_527_cam4_c8,spec,527.cam4_r,8,ref,178581.0,177804.33,0.43,92.261,92.671,1.004
same_numa,spec_531_deepsjeng_c4,spec,531.deepsjeng_r,4,ref,178581.0,181003.3,-1.36,92.261,91.135,0.988
same_numa,spec_531_deepsjeng_c8,spec,531.deepsjeng_r,8,ref,178581.0,180322.59,-0.98,92.261,91.135,0.988
same_numa,spec_538_imagick_c4,spec,538.imagick_r,4,ref,178581.0,182089.42,-1.96,92.261,90.623,0.982
same_numa,spec_538_imagick_c8,spec,538.imagick_r,8,ref,178581.0,182590.92,-2.25,92.261,90.623,0.982
same_numa,spec_541_leela_c4,spec,541.leela_r,4,ref,178581.0,180818.66,-1.25,92.261,91.135,0.988
same_numa,spec_541_leela_c8,spec,541.leela_r,8,ref,178581.0,181144.31,-1.44,92.261,91.135,0.988
same_numa,spec_549_fotonik3d_c4,spec,549.fotonik3d_r,4,ref,178581.0,177799.17,0.44,92.261,92.159,0.999
same_numa,spec_549_fotonik3d_c8,spec,549.fotonik3d_r,8,ref,178581.0,178270.59,0.17,92.261,92.159,0.999
same_numa,spec_554oms_c4,spec,554.roms_r,4,ref,178581.0,179460.24,-0.49,92.261,91.647,0.993
same_numa,spec_554oms_c8,spec,554.roms_r,8,ref,178581.0,179327.58,-0.42,92.261,92.159,0.999
cross_numa,spec_502_gcc_c8,spec,502.gcc_r,8,ref,178716.0,179338.52,-0.35,92.33,92.159,0.998
cross_numa,spec_503_bwaves_c8,spec,503.bwaves_r,8,ref,178716.0,175815.08,1.62,92.33,93.695,1.015
cross_numa,spec_505_mcf_c4,spec,505.mcf_r,4,ref,178716.0,179917.81,-0.67,92.33,92.159,0.998
cross_numa,spec_505_mcf_c8,spec,505.mcf_r,8,ref,178716.0,177283.24,0.8,92.33,93.183,1.009
cross_numa,spec_519_lbm_c4,spec,519.lbm_r,4,ref,178716.0,164026.81,8.22,92.33,102.399,1.109
cross_numa,spec_519_lbm_c8,spec,519.lbm_r,8,ref,178716.0,165417.43,7.44,92.33,101.375,1.098
same_smt,spec_502_gcc_c8,spec,502.gcc_r,8,ref,177550.0,143551.67,19.15,92.671,115.199,1.243
same_smt,spec_503_bwaves_c8,spec,503.bwaves_r,8,ref,177550.0,174689.52,1.61,92.671,93.695,1.011
same_smt,spec_505_mcf_c8,spec,505.mcf_r,8,ref,177550.0,148899.51,16.14,92.671,110.079,1.188
same_smt,spec_519_lbm_c8,spec,519.lbm_r,8,ref,177550.0,131633.65,25.86,92.671,123.903,1.337
