condition_id,L1-dcache-load-misses_mean,L1-dcache-load-misses_median,L1-dcache-load-misses_std,L1-dcache-loads_mean,L1-dcache-loads_median,L1-dcache-loads_std,LLC-load-misses_mean,LLC-load-misses_median,LLC-load-misses_std,LLC-loads_mean,LLC-loads_median,LLC-loads_std,branch-instructions_mean,branch-instructions_median,branch-instructions_std,branch-misses_mean,branch-misses_median,branch-misses_std,cache-misses_mean,cache-misses_median,cache-misses_std,cache-references_mean,cache-references_median,cache-references_std,context-switches_mean,context-switches_median,context-switches_std,cpu-migrations_mean,cpu-migrations_median,cpu-migrations_std,cycles_mean,cycles_median,cycles_std,dTLB-load-misses_mean,dTLB-load-misses_median,dTLB-load-misses_std,dTLB-loads_mean,dTLB-loads_median,dTLB-loads_std,instructions_mean,instructions_median,instructions_std,l2_rqsts.all_demand_data_rd_mean,l2_rqsts.all_demand_data_rd_median,l2_rqsts.all_demand_data_rd_std,l2_rqsts.all_demand_miss_mean,l2_rqsts.all_demand_miss_median,l2_rqsts.all_demand_miss_std,offcore_requests.all_data_rd_mean,offcore_requests.all_data_rd_median,offcore_requests.all_data_rd_std,offcore_requests.demand_data_rd_mean,offcore_requests.demand_data_rd_median,offcore_requests.demand_data_rd_std,IPC,LLC_miss_rate,L1_dcache_miss_rate,branch_miss_rate,L2_miss_rate,cache_miss_rate,qps,p99_ms,placement,offline_type,pmu_samples,pmu_event_types
ibench_cpu_w8_a60,738978673.8,824157265.0,229557651.6,22686778332.9,23855095317.5,3793119012.9,65979022.8,76255990.0,25918899.6,164099947.7,174888717.0,42921026.1,15842166449.2,16579207066.0,2263277318.9,57318157.6,62369909.5,13868736.7,125790547.9,145106648.5,47593470.8,383449693.3,404777987.0,87724703.5,934401.3,952318.5,52817.3,329334.1,334415.0,30237.4,57122365172.4,60817554485.5,9697139507.8,12790047.6,14631888.0,4417067.1,22664959563.6,23921133082.5,3396305317.8,82352236870.9,86762432426.5,13324052076.9,414819827.8,462543941.0,127228802.4,219400984.4,235197599.0,52622642.5,264605588.5,274362777.0,62274335.9,153144118.0,160280802.0,38692851.3,1.4417,0.4021,0.0326,0.0036,0.5289,0.328,180453.4,91.647,same_numa,ibench_cpu,3636,18
ibench_l3_w2_a60,527633695.1,589026866.0,158813907.8,11882274379.4,12762163444.0,2818856312.3,46294952.9,53422077.0,17772853.4,108479266.6,118717797.0,28119021.6,6254130236.9,6850517329.0,1630107571.2,49426137.0,52779847.0,10657488.2,116017405.9,132759705.0,43038594.5,328022298.1,352200363.0,71339845.6,877713.8,885162.0,43114.7,300356.1,296784.0,29531.6,33399749983.7,36293645739.0,7439235994.5,21920834.9,23390717.0,3852042.9,12867877903.5,13887943705.0,3010785131.7,38945109304.3,42128722555.0,9795085299.9,373093958.8,418090415.0,113511679.0,189302727.8,204759953.0,44079110.4,214670344.8,231742186.0,48558258.3,125425888.6,137528740.0,31778761.8,1.166,0.4268,0.0444,0.0079,0.5074,0.3537,168370.75,97.791,same_numa,ibench_l3,3726,18
ibench_l3_w4_a60,505727678.8,561708266.0,146420748.0,13253579154.1,13982700856.5,2767007505.6,43852119.5,50640984.0,16636542.1,111552732.8,121729091.0,27328024.1,6162976266.8,6638937437.0,1593838783.4,45415408.7,48188225.5,9697047.8,87115571.1,99488433.0,31568532.3,261587264.3,280123175.5,56238197.6,780474.1,771812.5,49805.1,233830.6,219170.0,48968.7,47680822119.0,51050290185.0,9136439485.9,23155763.6,24150385.0,2684595.3,12716271184.0,13490319526.5,2639036896.7,42259435843.5,45139312397.0,10044313216.4,314326797.6,349135953.0,91228370.8,167812689.4,179422313.5,37749536.0,175720679.2,188018115.0,38728792.2,107758937.7,116713290.0,25443839.7,0.8863,0.3931,0.0382,0.0074,0.5339,0.333,132087.71,124.415,same_numa,ibench_l3,3708,18
ibench_l3_w6_a60,479011278.0,533965942.0,138480214.7,12893003194.8,13655726171.0,2599469892.3,38048401.7,43979235.0,14305185.8,95871376.9,104881306.0,23357519.0,5819814397.1,6351482325.0,1476805120.0,40261819.8,42998321.0,8439102.3,77374720.2,88856517.0,27859699.2,242890447.1,261104205.0,50745240.4,733569.2,714996.0,66680.9,208718.9,188711.0,58176.7,54835700645.3,58166865562.0,8429243252.1,22061106.4,22994193.0,2427546.8,12135343469.9,12880897686.0,2386891060.0,41782124396.5,44928926947.0,9782702229.0,288720396.6,321534299.0,82179072.3,157193174.8,168983941.0,34239444.9,162838203.3,175598468.0,34942600.4,100827294.2,109682601.0,22729520.0,0.762,0.3969,0.0372,0.0069,0.5444,0.3186,116419.39,141.311,same_numa,ibench_l3,3690,18
ibench_l3_w8_a60,449326207.3,499204587.5,126890562.6,12772595979.0,13523089850.0,2479136140.4,35849920.1,41367799.5,13369723.3,97144613.7,106009591.0,22520467.7,5671097475.4,6136638434.5,1298147207.6,39873418.8,42383830.5,7887151.3,72154849.1,82781779.0,25732898.1,233195091.1,249503911.0,47218048.3,703603.2,681113.0,75848.2,193751.7,171440.5,63277.1,59519356240.6,62501298869.5,7526424637.8,21771860.8,22653642.0,2283372.1,11900202255.5,12574708045.0,2282832140.8,39903718136.4,42795718813.5,9026660212.4,273585434.3,304145140.5,76165771.8,150724828.8,161675570.5,32219346.3,157000357.4,169199147.0,32092069.7,96518310.0,104400340.5,20592307.9,0.6704,0.369,0.0352,0.007,0.5509,0.3094,107420.7,153.599,same_numa,ibench_l3,3672,18
ibench_membw_w4_a60,836401842.8,894057964.0,170733434.9,19657303506.2,20484491381.5,3265401898.2,59696561.5,69521537.5,23425009.7,110198042.1,122573008.0,30777401.0,9995639082.5,10751361708.0,2121570937.4,51993889.7,56848769.5,13173576.4,189230162.8,210637633.0,51774618.0,686636711.0,719315742.5,91231988.4,901530.4,915280.0,71501.1,313260.2,312457.5,33887.3,41909424377.4,45283182074.5,8707886770.8,12156853.4,13875028.0,4259196.0,22150379679.4,23199349389.5,3465668116.8,66389285099.3,70417924346.0,12228112219.8,379991720.8,430198020.5,122728513.1,197623708.2,216499067.0,50374412.4,397424164.6,418755508.0,58754710.5,127172941.0,140657272.5,34528429.5,1.5841,0.5417,0.0425,0.0052,0.5201,0.2756,171684.02,95.743,same_numa,ibench_membw,3672,18
ibench_membw_w6_a60,1032151504.2,1099649562.0,172109368.9,25999904531.2,26863046215.0,3035377391.7,60695033.7,70394193.0,23580389.3,117243612.7,130076963.0,32003798.5,11371783153.9,12081180978.0,2024676783.5,53578248.2,58270383.0,13138141.9,253505463.8,274833067.0,52297303.1,852482160.0,883367657.0,87135860.3,894408.0,909190.0,58772.9,303261.1,305755.0,35999.1,47016448865.2,49998340598.0,8260968700.3,12143977.6,13830081.0,4163848.6,27589303282.4,28687352886.0,3451118919.9,79547517862.2,83410590471.0,11841847461.2,377807695.8,426260193.0,119299706.3,199014644.3,217676028.0,48499525.3,480923419.2,501192750.0,56144067.0,126294133.6,139219846.0,33224378.2,1.6919,0.5177,0.0397,0.0047,0.5268,0.2974,168328.42,97.791,same_numa,ibench_membw,3654,18
ibench_membw_w8_a60,1202564012.7,1272005310.0,178623434.2,29978204010.9,30794267465.0,2931821998.4,52447034.2,60501582.0,20001559.5,107328599.1,118306455.5,28015768.7,11529959937.6,12101789147.5,1686575915.4,49573434.1,53526023.5,11666082.0,353761110.4,373860546.0,51624999.0,995904869.6,1019825318.5,70739120.9,892651.7,899758.0,38506.0,301272.2,296362.5,29946.0,54192498773.9,57338448990.5,8584211484.2,11882635.7,13457397.0,3993264.2,32341737731.8,33260377236.0,2992339526.5,87739725202.1,91103909793.0,10878593156.6,373589611.4,418991908.5,115286254.9,201085698.6,217697837.5,47297702.4,552958318.4,569024769.0,47835633.6,125547135.8,137848864.0,31947010.2,1.619,0.4887,0.0401,0.0043,0.5383,0.3552,162687.64,101.375,same_numa,ibench_membw,3600,18
spec_502_gcc_c8,1525483355.9,1481694107.0,510077892.0,21158120127.2,21675493441.0,5380489224.3,94432278.9,99196759.0,36633034.8,221262845.9,247723420.0,55727744.3,14749457080.8,15009770711.0,3551426530.7,127580477.2,103397683.0,64613364.2,254722521.5,264745486.0,101000887.2,1061426071.1,960164520.0,533431668.6,917870.7,926559.0,48775.4,319699.3,315936.0,27884.5,54010113471.7,58670710117.0,9674264957.8,22057148.3,23205866.0,6579736.1,20991379060.4,21354969337.0,5347268778.7,73394434825.4,75384473410.0,17161770543.1,715675018.0,769910917.0,155088884.8,360629455.2,334598638.0,120601662.3,662930835.9,738133793.0,294753760.1,224535183.9,248885789.0,56005835.3,1.3589,0.4268,0.0721,0.0086,0.5039,0.24,174692.16,94.719,same_numa,spec,3618,18
spec_503_bwaves_c8,560978737.6,634755753.0,175116263.8,10649126700.6,11649554519.0,3009023646.4,53670190.8,62774402.0,20823887.8,116214506.4,128836123.0,30630309.2,7111524606.2,7826831502.0,1896364572.7,58375938.2,61598797.0,12267170.5,123337606.6,143286481.0,46204892.6,347869138.6,377557021.0,76451136.6,901289.1,925644.0,71803.2,314088.5,322201.0,40135.1,32766073638.0,35261321432.0,7597236702.5,12734136.3,14362915.0,4016190.8,11026849734.8,12172194703.0,3129239944.7,42167630536.5,46282096311.0,11957561560.4,392131520.2,445158277.0,123430098.9,201347447.3,218033214.0,44212323.2,226129468.0,247645569.0,53783213.9,132101667.4,146058361.0,33902726.6,1.2869,0.4618,0.0527,0.0082,0.5135,0.3546,175008.41,94.207,same_numa,spec,3726,18
